Element Number,Radius,Flow Rate,Inlet Pressure,Outlet Pressure,order
1301.0,0.68491,149.42,7335.12664,7334.780645,7.0
1302.0,0.68491,149.42,7334.780645,7334.292794,7.0
1303.0,0.68491,149.42,7334.292794,7333.946781,7.0
1304.0,0.68491,149.42,7333.946781,7333.600759,7.0
1305.0,0.68491,149.42,7333.600759,7333.254727,7.0
1306.0,0.68491,149.42,7333.254727,7332.908687,7.0
1307.0,0.68491,149.42,7332.908687,7332.562637,7.0
1308.0,0.68491,149.42,7332.562637,7332.216577,7.0
1309.0,0.68491,149.42,7332.216577,7331.870509,7.0
1310.0,0.68491,149.42,7331.870509,7331.524431,7.0
1311.0,0.68491,149.42,7331.524431,7331.178343,7.0
1312.0,0.68491,149.42,7331.178343,7330.832246,7.0
1313.0,0.68491,149.42,7330.832246,7330.486139,7.0
1314.0,0.68491,149.42,7330.486139,7330.140023,7.0
1315.0,0.68491,149.42,7330.140023,7329.793897,7.0
1316.0,0.68491,149.42,7329.793897,7329.447761,7.0
1317.0,0.68491,149.42,7329.447761,7329.101616,7.0
1318.0,0.68491,149.42,7329.101616,7328.75546,7.0
1319.0,0.68491,149.42,7328.75546,7328.409295,7.0
1320.0,0.68491,149.42,7328.409295,7328.06312,7.0
1321.0,0.68491,149.42,7328.06312,7327.716935,7.0
1322.0,0.68491,149.42,7327.716935,7327.370739,7.0
1323.0,0.68491,149.42,7327.370739,7327.024534,7.0
1324.0,0.68491,149.42,7327.024534,7326.678319,7.0
1325.0,0.68491,149.42,7326.678319,7326.19031,7.0
1352.0,0.68491,130.37,7350.210384,7349.785807,7.0
1353.0,0.68491,130.37,7349.785807,7349.361228,7.0
1354.0,0.68491,130.37,7349.361228,7348.936648,7.0
1355.0,0.68491,130.37,7348.936648,7348.512067,7.0
1356.0,0.68491,130.37,7348.512067,7348.211689,7.0
1357.0,0.68491,130.37,7348.211689,7347.911309,7.0
1358.0,0.68491,130.37,7347.911309,7347.486725,7.0
1359.0,0.68491,130.37,7347.486725,7347.186342,7.0
1360.0,0.68491,130.37,7347.186342,7346.885957,7.0
1361.0,0.68491,130.37,7346.885957,7346.585571,7.0
1362.0,0.68491,130.37,7346.585571,7346.285183,7.0
1363.0,0.68491,130.37,7346.285183,7345.984794,7.0
1364.0,0.68491,130.37,7345.984794,7345.684403,7.0
1365.0,0.68491,130.37,7345.684403,7345.25981,7.0
1366.0,0.68491,130.37,7345.25981,7344.959415,7.0
1367.0,0.68491,130.37,7344.959415,7344.659019,7.0
1368.0,0.68491,130.37,7344.659019,7344.234423,7.0
1369.0,0.68491,130.37,7344.234423,7343.934023,7.0
1370.0,0.68491,130.37,7343.934023,7343.633622,7.0
1371.0,0.68491,130.37,7343.633622,7343.209022,7.0
1372.0,0.68491,130.37,7343.209022,7342.908617,7.0
1373.0,0.68491,130.37,7342.908617,7342.608211,7.0
1374.0,0.68491,130.37,7342.608211,7342.307803,7.0
1375.0,0.68491,130.37,7342.307803,7341.883198,7.0
1376.0,0.68491,130.37,7341.883198,7341.582786,7.0
1377.0,0.68491,130.37,7341.582786,7341.158179,7.0
1378.0,0.68491,130.37,7341.158179,7340.857764,7.0
1379.0,0.68491,130.37,7340.857764,7340.557347,7.0
1380.0,0.68491,130.37,7340.557347,7340.256928,7.0
1381.0,0.68491,130.37,7340.256928,7339.956508,7.0
1382.0,0.68491,130.37,7339.956508,7339.656086,7.0
1383.0,0.68491,130.37,7339.656086,7339.231471,7.0
1384.0,0.68491,130.37,7339.231471,7338.806855,7.0
1385.0,0.68491,130.37,7338.806855,7338.506427,7.0
1386.0,0.68491,130.37,7338.506427,7338.205998,7.0
1387.0,0.68491,130.37,7338.205998,7337.781378,7.0
1388.0,0.68491,130.37,7337.781378,7337.480945,7.0
1389.0,0.68491,130.37,7337.480945,7337.18051,7.0
1390.0,0.68491,130.37,7337.18051,7336.755886,7.0
1391.0,0.68491,130.37,7336.755886,7336.331261,7.0
1392.0,0.68491,130.37,7336.331261,7336.030821,7.0
1393.0,0.68491,130.37,7336.030821,7335.730379,7.0
1394.0,0.68491,130.37,7335.730379,7335.429935,7.0
1395.0,0.68491,130.37,7335.429935,7334.967114,7.0
1396.0,0.68491,130.37,7334.967114,7334.666678,7.0
1397.0,0.68491,130.37,7334.666678,7334.366241,7.0
1398.0,0.68491,130.37,7334.366241,7334.065802,7.0
1399.0,0.68491,130.37,7334.065802,7333.76536,7.0
1400.0,0.68491,130.37,7333.76536,7333.464917,7.0
1401.0,0.68491,130.37,7333.464917,7333.040288,7.0
1402.0,0.68491,130.37,7333.040288,7332.739841,7.0
1403.0,0.68491,130.37,7332.739841,7332.439392,7.0
