Element Number,Radius,Flow Rate,Inlet Pressure,Outlet Pressure,Shear Stress,Order
275.0,1.3043,817.63,5658.120905,5657.922312,1.5764265157092807,9.0
276.0,1.3043,817.63,5657.922312,5657.78189,1.5764265157092807,9.0
277.0,1.3043,817.63,5657.78189,5657.641467,1.5764265157092807,9.0
278.0,1.3043,817.63,5657.641467,5657.501045,1.5764265157092807,9.0
279.0,1.3043,817.63,5657.501045,5657.302452,1.5764265157092807,9.0
280.0,1.3043,817.63,5657.302452,5657.162029,1.5764265157092807,9.0
281.0,1.3043,817.63,5657.162029,5657.021607,1.5764265157092807,9.0
282.0,1.3043,817.63,5657.021607,5656.881185,1.5764265157092807,9.0
283.0,1.3043,817.63,5656.881185,5656.740762,1.5764265157092807,9.0
284.0,1.3043,817.63,5656.740762,5656.542169,1.5764265157092807,9.0
285.0,1.3043,817.63,5656.542169,5656.401746,1.5764265157092807,9.0
286.0,1.3043,817.63,5656.401746,5656.261324,1.5764265157092807,9.0
287.0,1.3043,817.63,5656.261324,5656.120902,1.5764265157092807,9.0
288.0,1.3043,817.63,5656.120902,5655.922308,1.5764265157092807,9.0
289.0,1.3043,817.63,5655.922308,5655.776553,1.5764265157092807,9.0
290.0,1.3043,817.63,5655.776553,5655.63613,1.5764265157092807,9.0
291.0,1.3043,817.63,5655.63613,5655.495708,1.5764265157092807,9.0
292.0,1.3043,817.63,5655.495708,5655.355286,1.5764265157092807,9.0
293.0,1.3043,817.63,5655.355286,5655.214863,1.5764265157092807,9.0
294.0,1.3043,817.63,5655.214863,5655.016266,1.5764265157092807,9.0
295.0,1.3043,817.63,5655.016266,5654.875844,1.5764265157092807,9.0
296.0,1.3043,817.63,5654.875844,5654.677246,1.5764265157092807,9.0
297.0,1.3043,817.63,5654.677246,5654.478649,1.5764265157092807,9.0
298.0,1.3043,817.63,5654.478649,5654.338227,1.5764265157092807,9.0
299.0,1.3043,817.63,5654.338227,5654.197804,1.5764265157092807,9.0
300.0,1.3043,817.63,5654.197804,5653.999207,1.5764265157092807,9.0
301.0,1.3043,817.63,5653.999207,5653.800609,1.5764265157092807,9.0
302.0,1.3043,817.63,5653.800609,5653.660187,1.5764265157092807,9.0
303.0,1.3043,817.63,5653.660187,5653.519764,1.5764265157092807,9.0
304.0,1.3043,817.63,5653.519764,5653.379342,1.5764265157092807,9.0
305.0,1.3043,817.63,5653.379342,5653.180744,1.5764265157092807,9.0
306.0,1.3043,817.63,5653.180744,5652.982146,1.5764265157092807,9.0
307.0,1.3043,817.63,5652.982146,5652.841723,1.5764265157092807,9.0
308.0,1.3043,817.63,5652.841723,5652.643125,1.5764265157092807,9.0
309.0,1.3043,817.63,5652.643125,5652.444527,1.5764265157092807,9.0
310.0,1.3043,817.63,5652.444527,5652.304104,1.5764265157092807,9.0
311.0,1.3043,817.63,5652.304104,5652.163682,1.5764265157092807,9.0
312.0,1.3043,817.63,5652.163682,5652.02326,1.5764265157092807,9.0
313.0,1.3043,817.63,5652.02326,5651.882837,1.5764265157092807,9.0
314.0,1.3043,817.63,5651.882837,5651.684239,1.5764265157092807,9.0
315.0,1.3043,817.63,5651.684239,5651.543816,1.5764265157092807,9.0
316.0,1.3043,817.63,5651.543816,5651.403394,1.5764265157092807,9.0
317.0,1.3043,817.63,5651.403394,5651.204795,1.5764265157092807,9.0
318.0,1.3043,817.63,5651.204795,5651.006196,1.5764265157092807,9.0
319.0,1.3043,817.63,5651.006196,5650.807597,1.5764265157092807,9.0
320.0,1.3043,817.63,5650.807597,5650.667175,1.5764265157092807,9.0
321.0,1.3043,817.63,5650.667175,5650.468575,1.5764265157092807,9.0
322.0,1.3043,817.63,5650.468575,5650.269976,1.5764265157092807,9.0
323.0,1.3043,817.63,5650.269976,5650.129554,1.5764265157092807,9.0
324.0,1.3043,817.63,5650.129554,5649.930954,1.5764265157092807,9.0
325.0,1.3043,817.63,5649.930954,5649.732354,1.5764265157092807,9.0
326.0,1.3043,817.63,5649.732354,5649.533754,1.5764265157092807,9.0
327.0,1.3043,817.63,5649.533754,5649.393332,1.5764265157092807,9.0
328.0,1.3043,817.63,5649.393332,5649.194732,1.5764265157092807,9.0
329.0,1.3043,817.63,5649.194732,5648.992788,1.5764265157092807,9.0
330.0,1.3043,817.63,5648.992788,5648.852365,1.5764265157092807,9.0
331.0,1.3043,817.63,5648.852365,5648.711943,1.5764265157092807,9.0
332.0,1.3043,817.63,5648.711943,5648.513345,1.5764265157092807,9.0
333.0,1.3043,817.63,5648.513345,5648.314747,1.5764265157092807,9.0
334.0,1.3043,817.63,5648.314747,5648.174325,1.5764265157092807,9.0
335.0,1.3043,817.63,5648.174325,5648.033903,1.5764265157092807,9.0
336.0,1.3043,817.63,5648.033903,5647.835305,1.5764265157092807,9.0
337.0,1.3043,817.63,5647.835305,5647.636706,1.5764265157092807,9.0
338.0,1.3043,817.63,5647.636706,5647.496284,1.5764265157092807,9.0
339.0,1.3043,817.63,5647.496284,5647.297686,1.5764265157092807,9.0
340.0,1.3043,817.63,5647.297686,5647.099087,1.5764265157092807,9.0
341.0,1.3043,817.63,5647.099087,5646.900488,1.5764265157092807,9.0
342.0,1.3043,817.63,5646.900488,5646.701889,1.5764265157092807,9.0
343.0,1.3043,817.63,5646.701889,5646.50329,1.5764265157092807,9.0
344.0,1.3043,817.63,5646.50329,5646.304691,1.5764265157092807,9.0
345.0,1.3043,817.63,5646.304691,5646.164269,1.5764265157092807,9.0
346.0,1.3043,817.63,5646.164269,5645.965669,1.5764265157092807,9.0
347.0,1.3043,817.63,5645.965669,5645.767069,1.5764265157092807,9.0
348.0,1.3043,817.63,5645.767069,5645.56847,1.5764265157092807,9.0
349.0,1.3043,817.63,5645.56847,5645.36987,1.5764265157092807,9.0
350.0,1.3043,817.63,5645.36987,5645.171269,1.5764265157092807,9.0
351.0,1.3043,817.63,5645.171269,5644.972669,1.5764265157092807,9.0
352.0,1.3043,817.63,5644.972669,5644.774068,1.5764265157092807,9.0
353.0,1.3043,817.63,5644.774068,5644.575468,1.5764265157092807,9.0
354.0,1.3043,817.63,5644.575468,5644.376866,1.5764265157092807,9.0
355.0,1.3043,817.63,5644.376866,5644.236444,1.5764265157092807,9.0
356.0,1.3043,817.63,5644.236444,5644.037843,1.5764265157092807,9.0
357.0,1.3043,817.63,5644.037843,5643.839241,1.5764265157092807,9.0
358.0,1.3043,817.63,5643.839241,5643.698799,1.5764265157092807,9.0
359.0,1.3043,817.63,5643.698799,5643.558356,1.5764265157092807,9.0
360.0,1.3043,817.63,5643.558356,5643.359754,1.5764265157092807,9.0
361.0,1.3043,817.63,5643.359754,5643.161152,1.5764265157092807,9.0
362.0,1.3043,817.63,5643.161152,5642.962549,1.5764265157092807,9.0
363.0,1.3043,817.63,5642.962549,5642.763946,1.5764265157092807,9.0
364.0,1.3043,817.63,5642.763946,5642.565344,1.5764265157092807,9.0
365.0,1.3043,817.63,5642.565344,5642.366741,1.5764265157092807,9.0
366.0,1.3043,817.63,5642.366741,5642.226295,1.5764265157092807,9.0
367.0,1.3043,817.63,5642.226295,5642.027692,1.5764265157092807,9.0
368.0,1.3043,817.63,5642.027692,5641.829088,1.5764265157092807,9.0
369.0,1.3043,817.63,5641.829088,5641.630484,1.5764265157092807,9.0
370.0,1.3043,817.63,5641.630484,5641.43188,1.5764265157092807,9.0
371.0,1.3043,817.63,5641.43188,5641.233276,1.5764265157092807,9.0
372.0,1.3043,817.63,5641.233276,5641.034671,1.5764265157092807,9.0
373.0,1.3043,817.63,5641.034671,5640.835317,1.5764265157092807,9.0
374.0,1.3043,817.63,5640.835317,5640.636709,1.5764265157092807,9.0
375.0,1.3043,817.63,5640.636709,5640.438101,1.5764265157092807,9.0
376.0,1.3043,817.63,5640.438101,5640.297679,1.5764265157092807,9.0
377.0,1.3043,817.63,5640.297679,5640.099071,1.5764265157092807,9.0
378.0,1.3043,817.63,5640.099071,5639.900462,1.5764265157092807,9.0
379.0,1.3043,817.63,5639.900462,5639.701853,1.5764265157092807,9.0
380.0,1.3043,817.63,5639.701853,5639.561431,1.5764265157092807,9.0
381.0,1.3043,817.63,5639.561431,5639.362822,1.5764265157092807,9.0
382.0,1.3043,817.63,5639.362822,5639.164213,1.5764265157092807,9.0
383.0,1.3043,817.63,5639.164213,5639.02379,1.5764265157092807,9.0
384.0,1.3043,817.63,5639.02379,5638.825181,1.5764265157092807,9.0
